o_zone_id,d_zone_id,agent_id
1,2,1
1,3,2
1,4,3
1,5,4
1,6,5
1,7,6
1,8,7
1,9,8
1,10,9
1,11,10
1,12,11
1,13,12
1,14,13
1,15,14
1,16,15
1,17,16
1,18,17
1,19,18
1,20,19
1,21,20
1,22,21
1,23,22
1,24,23
2,1,24
2,3,25
2,4,26
2,5,27
2,6,28
2,7,29
2,8,30
2,9,31
2,10,32
2,11,33
2,12,34
2,13,35
2,14,36
2,15,37
2,16,38
2,17,39
2,19,40
2,20,41
2,22,42
3,1,43
3,2,44
3,4,45
3,5,46
3,6,47
3,7,48
3,8,49
3,9,50
3,10,51
3,11,52
3,12,53
3,13,54
3,14,55
3,15,56
3,16,57
3,17,58
3,22,59
3,23,60
4,1,61
4,2,62
4,3,63
4,5,64
4,6,65
4,7,66
4,8,67
4,9,68
4,10,69
4,11,70
4,12,71
4,13,72
4,14,73
4,15,74
4,16,75
4,17,76
4,18,77
4,19,78
4,20,79
4,21,80
4,22,81
4,23,82
4,24,83
5,1,84
5,2,85
5,3,86
5,4,87
5,6,88
5,7,89
5,8,90
5,9,91
5,10,92
5,11,93
5,12,94
5,13,95
5,14,96
5,15,97
5,16,98
5,17,99
5,19,100
5,20,101
5,21,102
5,22,103
5,23,104
6,1,105
6,2,106
6,3,107
6,4,108
6,5,109
6,7,110
6,8,111
6,9,112
6,10,113
6,11,114
6,12,115
6,13,116
6,14,117
6,15,118
6,16,119
6,17,120
6,18,121
6,19,122
6,20,123
6,21,124
6,22,125
6,23,126
6,24,127
7,1,128
7,2,129
7,3,130
7,4,131
7,5,132
7,6,133
7,8,134
7,9,135
7,10,136
7,11,137
7,12,138
7,13,139
7,14,140
7,15,141
7,16,142
7,17,143
7,18,144
7,19,145
7,20,146
7,21,147
7,22,148
7,23,149
7,24,150
8,1,151
8,2,152
8,3,153
8,4,154
8,5,155
8,6,156
8,7,157
8,9,158
8,10,159
8,11,160
8,12,161
8,13,162
8,14,163
8,15,164
8,16,165
8,17,166
8,18,167
8,19,168
8,20,169
8,21,170
8,22,171
8,23,172
8,24,173
9,1,174
9,2,175
9,3,176
9,4,177
9,5,178
9,6,179
9,7,180
9,8,181
9,10,182
9,11,183
9,12,184
9,13,185
9,14,186
9,15,187
9,16,188
9,17,189
9,18,190
9,19,191
9,20,192
9,21,193
9,22,194
9,23,195
9,24,196
10,1,197
10,2,198
10,3,199
10,4,200
10,5,201
10,6,202
10,7,203
10,8,204
10,9,205
10,11,206
10,12,207
10,13,208
10,14,209
10,15,210
10,16,211
10,17,212
10,18,213
10,19,214
10,20,215
10,21,216
10,22,217
10,23,218
10,24,219
11,1,220
11,2,221
11,3,222
11,4,223
11,5,224
11,6,225
11,7,226
11,8,227
11,9,228
11,10,229
11,12,230
11,13,231
11,14,232
11,15,233
11,16,234
11,17,235
11,18,236
11,19,237
11,20,238
11,21,239
11,22,240
11,23,241
11,24,242
12,1,243
12,2,244
12,3,245
12,4,246
12,5,247
12,6,248
12,7,249
12,8,250
12,9,251
12,10,252
12,11,253
12,13,254
12,14,255
12,15,256
12,16,257
12,17,258
12,18,259
12,19,260
12,20,261
12,21,262
12,22,263
12,23,264
12,24,265
13,1,266
13,2,267
13,3,268
13,4,269
13,5,270
13,6,271
13,7,272
13,8,273
13,9,274
13,10,275
13,11,276
13,12,277
13,14,278
13,15,279
13,16,280
13,17,281
13,18,282
13,19,283
13,20,284
13,21,285
13,22,286
13,23,287
13,24,288
14,1,289
14,2,290
14,3,291
14,4,292
14,5,293
14,6,294
14,7,295
14,8,296
14,9,297
14,10,298
14,11,299
14,12,300
14,13,301
14,15,302
14,16,303
14,17,304
14,18,305
14,19,306
14,20,307
14,21,308
14,22,309
14,23,310
14,24,311
15,1,312
15,2,313
15,3,314
15,4,315
15,5,316
15,6,317
15,7,318
15,8,319
15,9,320
15,10,321
15,11,322
15,12,323
15,13,324
15,14,325
15,16,326
15,17,327
15,18,328
15,19,329
15,20,330
15,21,331
15,22,332
15,23,333
15,24,334
16,1,335
16,2,336
16,3,337
16,4,338
16,5,339
16,6,340
16,7,341
16,8,342
16,9,343
16,10,344
16,11,345
16,12,346
16,13,347
16,14,348
16,15,349
16,17,350
16,18,351
16,19,352
16,20,353
16,21,354
16,22,355
16,23,356
16,24,357
17,1,358
17,2,359
17,3,360
17,4,361
17,5,362
17,6,363
17,7,364
17,8,365
17,9,366
17,10,367
17,11,368
17,12,369
17,13,370
17,14,371
17,15,372
17,16,373
17,18,374
17,19,375
17,20,376
17,21,377
17,22,378
17,23,379
17,24,380
18,1,381
18,4,382
18,6,383
18,7,384
18,8,385
18,9,386
18,10,387
18,11,388
18,12,389
18,13,390
18,14,391
18,15,392
18,16,393
18,17,394
18,19,395
18,20,396
18,21,397
18,22,398
18,23,399
19,1,400
19,2,401
19,4,402
19,5,403
19,6,404
19,7,405
19,8,406
19,9,407
19,10,408
19,11,409
19,12,410
19,13,411
19,14,412
19,15,413
19,16,414
19,17,415
19,18,416
19,20,417
19,21,418
19,22,419
19,23,420
19,24,421
20,1,422
20,2,423
20,4,424
20,5,425
20,6,426
20,7,427
20,8,428
20,9,429
20,10,430
20,11,431
20,12,432
20,13,433
20,14,434
20,15,435
20,16,436
20,17,437
20,18,438
20,19,439
20,21,440
20,22,441
20,23,442
20,24,443
21,1,444
21,4,445
21,5,446
21,6,447
21,7,448
21,8,449
21,9,450
21,10,451
21,11,452
21,12,453
21,13,454
21,14,455
21,15,456
21,16,457
21,17,458
21,18,459
21,19,460
21,20,461
21,22,462
21,23,463
21,24,464
22,1,465
22,2,466
22,3,467
22,4,468
22,5,469
22,6,470
22,7,471
22,8,472
22,9,473
22,10,474
22,11,475
22,12,476
22,13,477
22,14,478
22,15,479
22,16,480
22,17,481
22,18,482
22,19,483
22,20,484
22,21,485
22,23,486
22,24,487
23,1,488
23,3,489
23,4,490
23,5,491
23,6,492
23,7,493
23,8,494
23,9,495
23,10,496
23,11,497
23,12,498
23,13,499
23,14,500
23,15,501
23,16,502
23,17,503
23,18,504
23,19,505
23,20,506
23,21,507
23,22,508
23,24,509
24,1,510
24,4,511
24,6,512
24,7,513
24,8,514
24,9,515
24,10,516
24,11,517
24,12,518
24,13,519
24,14,520
24,15,521
24,16,522
24,17,523
24,19,524
24,20,525
24,21,526
24,22,527
24,23,528
