agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,node_sequence
1,1,2,1,2,1;2
2,1,3,1,3,1;3
3,1,4,1,4,1;3;4
4,1,5,1,5,1;3;4;5
5,1,6,1,6,1;2;6
6,1,7,1,7,1;2;6;8;7
7,1,8,1,8,1;2;6;8
8,1,9,1,9,1;3;4;5;9
9,1,10,1,10,1;3;4;5;9;10
10,1,11,1,11,1;3;4;11
11,1,11,1,11,1;3;12;11
12,1,12,1,12,1;3;12
13,1,13,1,13,1;3;12;13
14,1,14,1,14,1;3;4;11;14
15,1,14,1,14,1;3;12;11;14
16,1,15,1,15,1;3;4;11;14;15
17,1,15,1,15,1;3;12;11;14;15
18,1,16,1,16,1;2;6;8;16
19,1,17,1,17,1;2;6;8;16;17
20,1,18,1,18,1;2;6;8;7;18
21,1,19,1,19,1;2;6;8;16;17;19
22,1,20,1,20,1;2;6;8;7;18;20
23,1,21,1,21,1;3;12;13;24;21
24,1,22,1,22,1;3;12;13;24;21;22
25,1,23,1,23,1;3;12;13;24;23
26,1,24,1,24,1;3;12;13;24
27,2,1,2,1,2;1
28,2,3,2,3,2;1;3
29,2,4,2,4,2;6;5;4
30,2,5,2,5,2;6;5
31,2,6,2,6,2;6
32,2,7,2,7,2;6;8;7
33,2,8,2,8,2;6;8
34,2,9,2,9,2;6;5;9
35,2,10,2,10,2;6;8;16;10
36,2,11,2,11,2;6;5;4;11
37,2,12,2,12,2;1;3;12
38,2,13,2,13,2;1;3;12;13
39,2,14,2,14,2;6;5;4;11;14
40,2,15,2,15,2;6;8;16;17;19;15
41,2,16,2,16,2;6;8;16
42,2,17,2,17,2;6;8;16;17
43,2,18,2,18,2;6;8;7;18
44,2,19,2,19,2;6;8;16;17;19
45,2,20,2,20,2;6;8;7;18;20
46,2,21,2,21,2;6;8;7;18;20;21
47,2,22,2,22,2;6;8;7;18;20;22
48,2,23,2,23,2;1;3;12;13;24;23
49,2,24,2,24,2;1;3;12;13;24
50,3,1,3,1,3;1
51,3,2,3,2,3;1;2
52,3,4,3,4,3;4
53,3,5,3,5,3;4;5
54,3,6,3,6,3;4;5;6
55,3,7,3,7,3;4;5;6;8;7
56,3,8,3,8,3;4;5;6;8
57,3,9,3,9,3;4;5;9
58,3,10,3,10,3;4;5;9;10
59,3,11,3,11,3;4;11
60,3,11,3,11,3;12;11
61,3,12,3,12,3;12
62,3,13,3,13,3;12;13
63,3,14,3,14,3;4;11;14
64,3,14,3,14,3;12;11;14
65,3,15,3,15,3;4;11;14;15
66,3,15,3,15,3;12;11;14;15
67,3,16,3,16,3;4;5;6;8;16
68,3,17,3,17,3;4;5;6;8;16;17
69,3,18,3,18,3;4;5;6;8;7;18
70,3,19,3,19,3;4;5;6;8;16;17;19
71,3,20,3,20,3;12;13;24;21;20
72,3,21,3,21,3;12;13;24;21
73,3,22,3,22,3;12;13;24;21;22
74,3,23,3,23,3;12;13;24;23
75,3,24,3,24,3;12;13;24
76,4,1,4,1,4;3;1
77,4,2,4,2,4;5;6;2
78,4,3,4,3,4;3
79,4,5,4,5,4;5
80,4,6,4,6,4;5;6
81,4,7,4,7,4;5;6;8;7
82,4,8,4,8,4;5;6;8
83,4,9,4,9,4;5;9
84,4,10,4,10,4;5;9;10
85,4,11,4,11,4;11
86,4,12,4,12,4;3;12
87,4,13,4,13,4;3;12;13
88,4,14,4,14,4;11;14
89,4,15,4,15,4;11;14;15
90,4,16,4,16,4;5;6;8;16
91,4,17,4,17,4;5;6;8;16;17
92,4,18,4,18,4;5;6;8;7;18
93,4,19,4,19,4;5;6;8;16;17;19
94,4,20,4,20,4;5;6;8;7;18;20
95,4,21,4,21,4;3;12;13;24;21
